Tiempo(s)	Voltaje(V)
0.000000	0.00239
3.361582	0.00089
6.723164	0.00095
10.084745	0.00101
13.446327	0.00058
16.807909	0.00055
20.169491	0.00071
23.531073	0.00054
26.892654	0.00050
30.254236	0.00057
33.615818	0.00076
36.977402	0.00051
40.338982	0.00048
43.700562	0.00052
47.062145	0.00085
50.423729	0.00112
53.785309	0.00097
57.146889	0.00042
60.508472	0.00061
63.870056	0.00110
67.231636	0.00108
70.593216	0.00037
73.954803	0.00042
77.316383	0.00066
80.677963	0.00050
84.039543	0.00030
87.401123	0.00104
90.762711	0.00155
94.124290	0.00130
97.485870	0.00067
100.847458	0.00058
104.209038	0.00121
107.570618	0.00147
110.932198	0.00121
114.293777	0.00088
117.655365	0.00112
121.016945	0.00137
124.378525	0.00101
127.740112	0.00109
131.101685	0.00137
134.463272	0.00072
137.824860	0.00042
141.186432	0.00089
144.548019	0.00116
147.909607	0.00121
151.271179	0.00050
154.632767	0.00016
157.994339	0.00171
161.355927	0.00270
164.717514	0.00211
168.079086	0.00213
171.440674	0.00275
174.802246	0.00240
178.163834	0.00226
181.525421	0.00538
184.886993	0.01049
188.248581	0.00288
191.610168	0.00739
194.971741	0.06694
198.333328	0.28118
201.694916	0.25926
205.056488	0.04314
208.418076	0.00856
211.779648	0.00765
215.141235	0.00774
218.502823	0.00579
221.864395	0.00157
225.225983	0.00285
228.587555	0.00266
231.949142	0.00231
235.310730	0.00161
238.672302	0.00260
242.033890	0.00159
245.395477	0.00045
248.757050	0.00050
252.118637	0.00108
255.480225	0.00089
258.841797	0.00078
262.203369	0.00006
265.564972	0.00065
268.926544	0.00142
272.288116	0.00124
275.649719	0.00118
279.011292	0.00148
282.372864	0.00128
285.734467	0.00067
289.096039	0.00093
292.457611	0.00135
295.819214	0.00116
299.180786	0.00028
302.542358	0.00012
305.903931	0.00074
309.265533	0.00110
312.627106	0.00079
315.988678	0.00027
319.350281	0.00049
322.711853	0.00027
326.073425	0.00044
329.435028	0.00018
332.796600	0.00081
336.158173	0.00099
339.519775	0.00061
342.881348	0.00035
346.242920	0.00069
349.604492	0.00071
352.966095	0.00059
356.327667	0.00013
359.689240	0.00047
363.050842	0.00039
366.412415	0.00043
369.773987	0.00028
373.135590	0.00036
376.497162	0.00036
379.858734	0.00061
383.220337	0.00024
386.581909	0.00033
389.943481	0.00059
393.305084	0.00041
396.666656	0.00038
400.028229	0.00058
403.389832	0.00064
406.751404	0.00043
410.112976	0.00030
413.474548	0.00051
416.836151	0.00048
420.197723	0.00033
423.559296	0.00033
426.920898	0.00037
430.282471	0.00043
433.644043	0.00032
437.005646	0.00026
440.367218	0.00035
443.728790	0.00033
447.090393	0.00016
450.451965	0.00029
453.813538	0.00019
457.175110	0.00013
460.536713	0.00022
463.898285	0.00021
467.259857	0.00027
470.621460	0.00035
473.983032	0.00029
477.344604	0.00026
480.706207	0.00023
484.067780	0.00017
487.429352	0.00015
490.790955	0.00014
494.152527	0.00047
497.514099	0.00064
500.875702	0.00028
504.237274	0.00006
507.598846	0.00024
510.960449	0.00037
514.322021	0.00019
517.683594	0.00003
521.045166	0.00005
524.406738	0.00020
527.768372	0.00026
531.129944	0.00029
534.491516	0.00040
537.853088	0.00034
541.214661	0.00012
544.576233	0.00006
547.937805	0.00010
551.299438	0.00029
554.661011	0.00034
558.022583	0.00014
561.384155	0.00023
564.745728	0.00032
568.107300	0.00028
571.468933	0.00025
574.830505	0.00031
578.192078	0.00022
581.553650	0.00008
584.915222	0.00016
588.276794	0.00013
591.638428	0.00017
595.000000	0.00018
598.361572	0.00008
601.723145	0.00017
605.084717	0.00035
608.446289	0.00029
611.807861	0.00018
615.169495	0.00016
618.531067	0.00004
621.892639	0.00005
625.254211	0.00009
628.615784	0.00025
631.977356	0.00008
635.338989	0.00020
638.700562	0.00019
642.062134	0.00036
645.423706	0.00034
648.785278	0.00010
652.146851	0.00019
655.508423	0.00017
658.870056	0.00027
662.231628	0.00021
665.593201	0.00029
668.954773	0.00033
672.316345	0.00020
675.677917	0.00012
679.039551	0.00008
682.401123	0.00010
685.762695	0.00026
689.124268	0.00023
692.485840	0.00008
695.847412	0.00020
699.208984	0.00037
702.570618	0.00025
705.932190	0.00009
709.293762	0.00018
712.655334	0.00033
716.016907	0.00037
719.378479	0.00043
722.740112	0.00024
726.101685	0.00010
729.463257	0.00016
732.824829	0.00020
736.186401	0.00018
739.547974	0.00026
742.909607	0.00018
746.271179	0.00021
749.632751	0.00019
752.994324	0.00024
756.355896	0.00018
759.717468	0.00003
763.079041	0.00012
766.440674	0.00015
769.802246	0.00016
773.163818	0.00017
776.525391	0.00039
779.886963	0.00028
783.248535	0.00014
786.610168	0.00012
789.971741	0.00008
793.333313	0.00018
796.694885	0.00029
800.056458	0.00016
803.418030	0.00029
806.779663	0.00018
810.141235	0.00022
813.502808	0.00017
816.864380	0.00017
820.225952	0.00019
823.587524	0.00008
826.949097	0.00004
830.310730	0.00003
833.672302	0.00012
837.033875	0.00010
840.395447	0.00012
843.757019	0.00010
847.118591	0.00017
850.480225	0.00017
853.841797	0.00018
857.203369	0.00025
