Frecuencia(Hz)	Magnitud(V)
0.00	0.00003
1.85	0.00002
3.70	0.00014
5.54	0.00025
7.39	0.00031
9.24	0.00029
11.09	0.00025
12.93	0.00023
14.78	0.00022
16.63	0.00020
18.48	0.00018
20.32	0.00017
22.17	0.00019
24.02	0.00023
25.87	0.00026
27.71	0.00026
29.56	0.00023
31.41	0.00021
33.26	0.00021
35.11	0.00021
36.95	0.00018
38.80	0.00016
40.65	0.00018
42.50	0.00019
44.34	0.00019
46.19	0.00016
48.04	0.00014
49.89	0.00014
51.73	0.00016
53.58	0.00017
55.43	0.00014
57.28	0.00015
59.13	0.00015
60.97	0.00011
62.82	0.00016
64.67	0.00025
66.52	0.00031
68.36	0.00033
70.21	0.00034
72.06	0.00036
73.91	0.00036
75.75	0.00032
77.60	0.00032
79.45	0.00037
81.30	0.00040
83.14	0.00038
84.99	0.00031
86.84	0.00024
88.69	0.00022
90.54	0.00029
92.38	0.00037
94.23	0.00041
96.08	0.00038
97.93	0.00031
99.77	0.00024
101.62	0.00019
103.47	0.00019
105.32	0.00025
107.16	0.00034
109.01	0.00040
110.86	0.00042
112.71	0.00042
114.55	0.00040
116.40	0.00032
118.25	0.00021
120.10	0.00019
121.95	0.00027
123.79	0.00036
125.64	0.00045
127.49	0.00052
129.34	0.00057
131.18	0.00057
133.03	0.00052
134.88	0.00047
136.73	0.00053
138.57	0.00070
140.42	0.00085
142.27	0.00087
144.12	0.00077
145.96	0.00065
147.81	0.00066
149.66	0.00082
151.51	0.00104
153.36	0.00122
155.20	0.00128
157.05	0.00122
158.90	0.00113
160.75	0.00099
162.59	0.00079
164.44	0.00070
166.29	0.00095
168.14	0.00136
169.98	0.00159
171.83	0.00156
173.68	0.00152
175.53	0.00147
177.38	0.00134
179.22	0.00125
181.07	0.00177
182.92	0.00298
184.77	0.00349
186.61	0.00277
188.46	0.00310
190.31	0.00647
192.16	0.00744
194.00	0.00974
195.85	0.05435
197.70	0.11393
199.55	0.15532
201.39	0.15141
203.24	0.10571
205.09	0.04890
206.94	0.01115
208.79	0.00061
210.63	0.00222
212.48	0.00488
214.33	0.00399
216.18	0.00251
218.02	0.00228
219.87	0.00229
221.72	0.00167
223.57	0.00112
225.41	0.00135
227.26	0.00176
229.11	0.00178
230.96	0.00153
232.80	0.00130
234.65	0.00108
236.50	0.00085
238.35	0.00084
240.20	0.00107
242.04	0.00130
243.89	0.00133
245.74	0.00121
247.59	0.00105
249.43	0.00086
251.28	0.00061
253.13	0.00049
254.98	0.00066
256.82	0.00091
258.67	0.00102
260.52	0.00095
262.37	0.00080
264.21	0.00064
266.06	0.00053
267.91	0.00056
269.76	0.00068
271.61	0.00077
273.45	0.00076
275.30	0.00066
277.15	0.00054
279.00	0.00043
280.84	0.00034
282.69	0.00035
284.54	0.00046
286.39	0.00057
288.23	0.00060
290.08	0.00054
291.93	0.00045
293.78	0.00033
295.63	0.00020
297.47	0.00012
299.32	0.00021
301.17	0.00032
303.02	0.00042
304.86	0.00051
306.71	0.00056
308.56	0.00055
310.41	0.00049
312.25	0.00045
314.10	0.00049
315.95	0.00056
317.80	0.00063
319.64	0.00067
321.49	0.00064
323.34	0.00055
325.19	0.00045
327.04	0.00041
328.88	0.00040
330.73	0.00040
332.58	0.00040
334.43	0.00042
336.27	0.00043
338.12	0.00040
339.97	0.00035
341.82	0.00035
343.66	0.00042
345.51	0.00048
347.36	0.00049
349.21	0.00044
351.05	0.00035
352.90	0.00025
354.75	0.00017
356.60	0.00014
358.45	0.00015
360.29	0.00018
362.14	0.00021
363.99	0.00022
365.84	0.00020
367.68	0.00015
369.53	0.00013
371.38	0.00019
373.23	0.00028
375.07	0.00036
376.92	0.00038
378.77	0.00033
380.62	0.00023
382.46	0.00012
384.31	0.00012
386.16	0.00022
388.01	0.00031
389.86	0.00034
391.70	0.00032
393.55	0.00028
395.40	0.00025
397.25	0.00022
399.09	0.00017
400.94	0.00013
402.79	0.00012
404.64	0.00018
406.48	0.00024
408.33	0.00030
410.18	0.00033
412.03	0.00031
413.88	0.00025
415.72	0.00023
417.57	0.00025
419.42	0.00027
421.27	0.00028
423.11	0.00028
424.96	0.00025
426.81	0.00022
428.66	0.00023
430.50	0.00026
432.35	0.00031
434.20	0.00034
436.05	0.00032
437.89	0.00025
439.74	0.00017
441.59	0.00011
443.44	0.00011
445.29	0.00017
447.13	0.00024
448.98	0.00028
450.83	0.00029
452.68	0.00028
454.52	0.00026
456.37	0.00023
458.22	0.00021
460.07	0.00019
461.91	0.00020
463.76	0.00026
465.61	0.00032
467.46	0.00034
469.30	0.00029
471.15	0.00020
473.00	0.00011
474.85	0.00007
476.70	0.00007
478.54	0.00013
480.39	0.00020
482.24	0.00024
484.09	0.00022
485.93	0.00018
487.78	0.00016
489.63	0.00015
491.48	0.00017
493.32	0.00019
495.17	0.00018
497.02	0.00014
498.87	0.00009
500.71	0.00007
502.56	0.00010
504.41	0.00012
506.26	0.00014
508.11	0.00018
509.95	0.00020
511.80	0.00020
513.65	0.00017
515.50	0.00014
517.34	0.00010
519.19	0.00009
521.04	0.00012
522.89	0.00015
524.73	0.00020
526.58	0.00023
528.43	0.00026
530.28	0.00025
532.13	0.00021
533.97	0.00016
535.82	0.00014
537.67	0.00015
539.52	0.00016
541.36	0.00017
543.21	0.00019
545.06	0.00021
546.91	0.00022
548.75	0.00025
550.60	0.00028
552.45	0.00029
554.30	0.00026
556.14	0.00020
557.99	0.00016
559.84	0.00017
561.69	0.00019
563.54	0.00021
565.38	0.00027
567.23	0.00038
569.08	0.00048
570.93	0.00049
572.77	0.00041
574.62	0.00028
576.47	0.00020
578.32	0.00021
580.16	0.00027
582.01	0.00031
583.86	0.00026
585.71	0.00017
587.55	0.00010
589.40	0.00010
591.25	0.00017
593.10	0.00025
594.95	0.00028
596.79	0.00027
598.64	0.00028
600.49	0.00032
602.34	0.00040
604.18	0.00047
606.03	0.00052
607.88	0.00050
609.73	0.00043
611.57	0.00030
613.42	0.00016
615.27	0.00012
617.12	0.00011
618.97	0.00007
620.81	0.00014
622.66	0.00018
624.51	0.00013
626.36	0.00013
628.20	0.00020
630.05	0.00018
631.90	0.00008
633.75	0.00011
635.59	0.00010
637.44	0.00006
639.29	0.00018
641.14	0.00023
642.98	0.00021
644.83	0.00022
646.68	0.00025
648.53	0.00025
650.38	0.00028
652.22	0.00032
654.07	0.00032
655.92	0.00030
657.77	0.00032
659.61	0.00031
661.46	0.00025
663.31	0.00015
665.16	0.00008
667.00	0.00011
668.85	0.00017
670.70	0.00017
672.55	0.00012
674.39	0.00013
676.24	0.00020
678.09	0.00023
679.94	0.00020
681.79	0.00017
683.63	0.00017
685.48	0.00022
687.33	0.00024
689.18	0.00021
691.02	0.00017
692.87	0.00019
694.72	0.00022
696.57	0.00022
698.41	0.00021
700.26	0.00024
702.11	0.00026
703.96	0.00023
705.80	0.00016
707.65	0.00010
709.50	0.00009
711.35	0.00009
713.20	0.00007
715.04	0.00005
716.89	0.00003
718.74	0.00001
720.59	0.00001
722.43	0.00003
724.28	0.00007
726.13	0.00012
727.98	0.00014
729.82	0.00012
731.67	0.00006
733.52	0.00002
735.37	0.00007
737.22	0.00011
739.06	0.00013
740.91	0.00012
742.76	0.00008
744.61	0.00007
746.45	0.00011
748.30	0.00016
750.15	0.00019
752.00	0.00018
753.84	0.00014
755.69	0.00007
757.54	0.00003
759.39	0.00006
761.23	0.00006
763.08	0.00002
764.93	0.00009
766.78	0.00014
768.63	0.00014
770.47	0.00008
772.32	0.00002
774.17	0.00003
776.02	0.00004
777.86	0.00005
779.71	0.00006
781.56	0.00008
783.41	0.00009
785.25	0.00012
787.10	0.00015
788.95	0.00015
790.80	0.00012
792.64	0.00011
794.49	0.00011
796.34	0.00010
798.19	0.00010
800.04	0.00013
801.88	0.00016
803.73	0.00017
805.58	0.00016
807.43	0.00014
809.27	0.00012
811.12	0.00007
812.97	0.00002
814.82	0.00004
816.66	0.00009
818.51	0.00015
820.36	0.00019
822.21	0.00018
824.05	0.00014
825.90	0.00008
827.75	0.00004
829.60	0.00005
831.45	0.00010
833.29	0.00014
835.14	0.00015
836.99	0.00014
838.84	0.00013
840.68	0.00012
842.53	0.00008
844.38	0.00002
846.23	0.00007
848.07	0.00012
849.92	0.00012
851.77	0.00009
853.62	0.00005
855.47	0.00005
857.31	0.00007
859.16	0.00007
861.01	0.00005
862.86	0.00002
864.70	0.00003
866.55	0.00008
868.40	0.00011
870.25	0.00011
872.09	0.00010
873.94	0.00008
875.79	0.00004
877.64	0.00004
879.48	0.00009
881.33	0.00011
883.18	0.00007
885.03	0.00001
886.88	0.00005
888.72	0.00009
890.57	0.00012
892.42	0.00014
894.27	0.00017
896.11	0.00018
897.96	0.00017
899.81	0.00014
901.66	0.00011
903.50	0.00007
905.35	0.00002
907.20	0.00004
909.05	0.00007
910.89	0.00009
912.74	0.00010
914.59	0.00010
916.44	0.00014
918.29	0.00018
920.13	0.00018
921.98	0.00013
923.83	0.00006
925.68	0.00007
927.52	0.00008
929.37	0.00007
931.22	0.00011
933.07	0.00016
934.91	0.00016
936.76	0.00010
938.61	0.00005
940.46	0.00014
942.30	0.00020
944.15	0.00022
