Frecuencia(Hz)	Magnitud(V)
0.00	0.00082
29.56	0.00082
59.13	0.00093
88.69	0.00095
118.26	0.00095
147.82	0.00093
177.39	0.00092
206.95	0.00092
236.52	0.00098
266.08	0.00100
295.65	0.00098
325.21	0.00105
354.78	0.00108
384.34	0.00111
413.90	0.00111
443.47	0.00125
473.03	0.00125
502.60	0.00139
532.16	0.00143
561.73	0.00160
591.29	0.00162
620.86	0.00188
650.42	0.00193
679.99	0.00226
709.55	0.00243
739.11	0.00298
768.68	0.00333
798.24	0.00456
827.81	0.00597
857.37	0.01067
886.94	0.02872
916.50	0.03104
