Tiempo(s)	Voltaje(V)
0.000061	1.86318
0.000647	1.43118
0.001187	1.07019
0.001717	0.95573
0.002245	1.10645
0.002808	1.48924
0.003340	1.90427
0.003869	2.18066
0.004398	2.21370
0.004947	1.96711
0.005477	1.57223
0.006004	1.17654
0.006534	0.97426
0.007062	1.02422
0.007589	1.31919
0.008117	1.73825
0.008644	2.09848
0.009193	2.23464
0.009721	2.09929
0.010250	1.75275
0.010779	1.33450
0.011308	1.02744
0.011836	0.96621
0.012364	1.17090
0.012892	1.54725
0.013419	1.95502
0.013949	2.20886
0.014477	2.18711
0.015007	1.92602
0.015535	1.52389
0.016064	1.13867
0.016594	0.96298
0.017121	1.05327
0.017676	1.38365
0.018204	1.80512
0.018733	2.12910
0.019262	2.23384
0.019790	2.06545
0.020317	1.68991
0.020844	1.29019
0.021372	1.00488
0.021902	0.97185
0.022429	1.21521
0.022959	1.60526
0.023486	1.99611
0.024015	2.24512
0.024543	2.17744
0.025072	1.87687
0.025599	1.46991
0.026132	1.08389
0.026674	0.95251
0.027204	1.08630
0.027735	1.42796
0.028265	1.84862
0.028792	2.15810
0.029321	2.22981
0.029847	2.02995
0.030376	1.65526
0.030906	1.24346
0.031434	0.98877
0.031964	0.99682
0.032492	1.24829
0.033022	1.65848
0.033549	2.04204
0.034077	2.23464
0.034663	2.11782
0.035192	1.79626
0.035721	1.38123
0.036249	1.04119
0.036777	0.94848
0.037306	1.13867
0.037835	1.49891
0.038361	1.91796
0.038889	2.19758
0.039420	2.20725
0.039950	1.96872
0.040479	1.56900
0.041006	1.17573
0.041534	0.97024
0.042062	1.02502
0.042590	1.31839
0.043119	1.73341
0.043646	2.08398
0.044174	2.23706
0.044701	2.11702
0.045229	1.76000
0.045758	1.34739
0.046286	1.03957
0.046814	0.95573
0.047343	1.15640
0.047872	1.53758
0.048401	1.94536
0.048929	2.19919
0.049457	2.20725
0.049988	1.94374
0.050518	1.52953
0.051047	1.15076
0.051574	0.96379
0.052103	1.03393
0.052633	1.35384
0.053160	1.77128
0.053690	2.10412
0.054218	2.24109
0.054746	2.09123
0.055274	1.71891
0.055803	1.31919
0.056330	1.02422
0.056858	0.95976
0.057386	1.18057
0.057914	1.57303
0.058443	1.96308
0.058972	2.21289
0.059501	2.19275
0.060030	1.90749
0.060559	1.50777
0.061087	1.13545
0.061615	0.95251
0.062141	1.05408
0.062669	1.38123
0.063198	1.79142
0.063726	2.13635
0.064254	2.23223
0.064781	2.07190
0.065310	1.70441
0.065837	1.29180
0.066366	1.00166
0.066894	0.97668
0.067421	1.20313
0.067948	1.63426
0.068575	2.05332
0.069103	2.23142
0.069630	2.14280
0.070158	1.82204
0.070688	1.39493
0.071220	1.06858
0.071749	0.95573
0.072280	1.11934
0.072808	1.48602
0.073336	1.89863
0.073863	2.17825
0.074392	2.21934
0.074919	1.98564
0.075447	1.58995
0.075976	1.19829
0.076503	0.97910
0.077031	1.01052
0.077559	1.30066
0.078088	1.70199
0.078619	2.07754
0.079148	2.23706
0.079679	2.11702
0.080207	1.78417
0.080735	1.36753
0.081262	1.04360
0.081790	0.96137
0.082318	1.14351
0.082847	1.51422
0.083374	1.92602
0.083903	2.20000
0.084430	2.21289
0.084960	1.95583
0.085488	1.56014
0.086019	1.17171
0.086549	0.96137
0.087076	1.01858
0.087603	1.32886
0.088130	1.73744
0.088657	2.09284
0.089185	2.23787
0.089715	2.10896
0.090245	1.74872
0.090783	1.33047
0.091314	1.02744
0.091845	0.96782
0.092376	1.17654
0.092904	1.55772
0.093431	1.96389
0.093959	2.21289
0.094488	2.19275
0.095017	1.92199
0.095545	1.51422
0.096073	1.13706
0.096600	0.96218
0.097129	1.05247
0.097657	1.36592
0.098185	1.78820
0.098712	2.12427
0.099241	2.23223
0.099769	2.07593
0.100298	1.72455
0.100829	1.28938
0.101356	1.00971
0.101886	0.96379
0.102413	1.20393
0.102942	1.58915
0.103470	1.98886
0.103999	2.22095
0.104527	2.17664
0.105055	1.89702
0.105582	1.48602
0.106110	1.11209
0.106639	0.95493
0.107168	1.06374
0.107697	1.39815
0.108225	1.81640
0.108754	2.14038
0.109283	2.23464
0.109811	2.05412
0.110339	1.67540
0.110870	1.27085
0.111399	0.99602
0.111929	0.98232
0.112456	1.23374
0.112985	1.62943
0.113514	2.01626
0.114041	2.22498
0.114568	2.16213
0.115098	1.86479
0.115626	1.45460
0.116154	1.08791
0.116682	0.95654
0.117210	1.08469
0.117738	1.43199
0.118266	1.84862
0.118794	2.15972
0.119323	2.22659
0.119850	2.03156
0.120379	1.65043
0.120909	1.22569
0.121439	0.98877
